Date,Time,O,H,L,C,Turn,Vol
10/11,09:15,24960.0,24960.0,24960.0,24960.0,0.0,230.0
10/11,09:16,24974.0,25052.0,24974.0,24997.0,0.0,1172.0
10/11,09:17,24996.0,25033.0,24996.0,25005.0,0.0,414.0
10/11,09:18,25004.0,25023.0,24996.0,25023.0,0.0,646.0
10/11,09:19,25021.0,25096.0,25021.0,25090.0,0.0,690.0
10/11,09:20,25093.0,25131.0,25087.0,25101.0,0.0,555.0
10/11,09:21,25104.0,25143.0,25095.0,25115.0,0.0,559.0
10/11,09:22,25118.0,25176.0,25116.0,25148.0,0.0,709.0
10/11,09:23,25149.0,25159.0,25122.0,25124.0,0.0,509.0
10/11,09:24,25125.0,25135.0,25111.0,25122.0,0.0,444.0
10/11,09:25,25122.0,25139.0,25110.0,25135.0,0.0,432.0
10/11,09:26,25136.0,25160.0,25129.0,25157.0,0.0,618.0
10/11,09:27,25159.0,25165.0,25143.0,25146.0,0.0,211.0
10/11,09:28,25146.0,25155.0,25141.0,25141.0,0.0,243.0
10/11,09:29,25143.0,25158.0,25139.0,25147.0,0.0,132.0
10/11,09:30,25146.0,25147.0,25127.0,25129.0,0.0,167.0
10/11,09:31,25131.0,25168.0,25116.0,25167.0,0.0,1815.0
10/11,09:32,25168.0,25201.0,25162.0,25163.0,0.0,1596.0
10/11,09:33,25167.0,25226.0,25166.0,25215.0,0.0,1088.0
10/11,09:34,25217.0,25230.0,25200.0,25226.0,0.0,731.0
10/11,09:35,25226.0,25257.0,25219.0,25256.0,0.0,844.0
10/11,09:36,25257.0,25270.0,25240.0,25243.0,0.0,887.0
10/11,09:37,25246.0,25276.0,25235.0,25241.0,0.0,824.0
10/11,09:38,25243.0,25316.0,25241.0,25296.0,0.0,1298.0
10/11,09:39,25295.0,25317.0,25282.0,25283.0,0.0,738.0
10/11,09:40,25286.0,25289.0,25254.0,25266.0,0.0,872.0
10/11,09:41,25267.0,25278.0,25236.0,25249.0,0.0,1140.0
10/11,09:42,25247.0,25268.0,25247.0,25260.0,0.0,621.0
10/11,09:43,25258.0,25276.0,25222.0,25271.0,0.0,1224.0
10/11,09:44,25269.0,25302.0,25269.0,25293.0,0.0,1127.0
10/11,09:45,25290.0,25293.0,25238.0,25247.0,0.0,872.0
10/11,09:46,25248.0,25264.0,25210.0,25231.0,0.0,1066.0
10/11,09:47,25236.0,25243.0,25209.0,25220.0,0.0,731.0
10/11,09:48,25219.0,25219.0,25185.0,25190.0,0.0,1214.0
10/11,09:49,25187.0,25234.0,25170.0,25205.0,0.0,1251.0
10/11,09:50,25206.0,25219.0,25175.0,25189.0,0.0,605.0
10/11,09:51,25190.0,25218.0,25183.0,25191.0,0.0,657.0
10/11,09:52,25190.0,25223.0,25189.0,25220.0,0.0,539.0
10/11,09:53,25221.0,25250.0,25220.0,25247.0,0.0,517.0
10/11,09:54,25244.0,25249.0,25206.0,25213.0,0.0,502.0
10/11,09:55,25214.0,25236.0,25208.0,25212.0,0.0,794.0
10/11,09:56,25210.0,25258.0,25197.0,25246.0,0.0,520.0
10/11,09:57,25243.0,25252.0,25218.0,25244.0,0.0,562.0
10/11,09:58,25248.0,25271.0,25244.0,25254.0,0.0,574.0
10/11,09:59,25254.0,25257.0,25226.0,25238.0,0.0,497.0
10/11,10:00,25238.0,25243.0,25204.0,25240.0,0.0,669.0
10/11,10:01,25237.0,25280.0,25237.0,25278.0,0.0,712.0
10/11,10:02,25277.0,25278.0,25255.0,25260.0,0.0,329.0
10/11,10:03,25259.0,25261.0,25218.0,25226.0,0.0,983.0
10/11,10:04,25225.0,25245.0,25212.0,25236.0,0.0,303.0
10/11,10:05,25235.0,25252.0,25224.0,25251.0,0.0,274.0
10/11,10:06,25252.0,25273.0,25235.0,25237.0,0.0,493.0
10/11,10:07,25238.0,25251.0,25223.0,25229.0,0.0,336.0
10/11,10:08,25230.0,25237.0,25216.0,25227.0,0.0,294.0
10/11,10:09,25230.0,25251.0,25227.0,25251.0,0.0,204.0
10/11,10:10,25250.0,25264.0,25230.0,25264.0,0.0,392.0
10/11,10:11,25265.0,25273.0,25243.0,25268.0,0.0,318.0
10/11,10:12,25267.0,25270.0,25242.0,25270.0,0.0,520.0
10/11,10:13,25270.0,25312.0,25265.0,25291.0,0.0,1479.0
10/11,10:14,25289.0,25301.0,25275.0,25292.0,0.0,360.0
10/11,10:15,25294.0,25294.0,25255.0,25262.0,0.0,627.0
10/11,10:16,25263.0,25276.0,25243.0,25248.0,0.0,424.0
10/11,10:17,25248.0,25258.0,25233.0,25239.0,0.0,506.0
10/11,10:18,25236.0,25236.0,25201.0,25221.0,0.0,1427.0
10/11,10:19,25221.0,25262.0,25216.0,25252.0,0.0,551.0
10/11,10:20,25256.0,25285.0,25250.0,25284.0,0.0,620.0
10/11,10:21,25284.0,25297.0,25271.0,25296.0,0.0,479.0
10/11,10:22,25296.0,25300.0,25262.0,25262.0,0.0,454.0
10/11,10:23,25265.0,25276.0,25250.0,25269.0,0.0,680.0
10/11,10:24,25270.0,25295.0,25269.0,25288.0,0.0,645.0
10/11,10:25,25287.0,25304.0,25278.0,25287.0,0.0,407.0
10/11,10:26,25288.0,25303.0,25281.0,25289.0,0.0,402.0
10/11,10:27,25292.0,25308.0,25282.0,25307.0,0.0,342.0
10/11,10:28,25308.0,25310.0,25290.0,25290.0,0.0,331.0
10/11,10:29,25290.0,25336.0,25286.0,25311.0,0.0,910.0
10/11,10:30,25311.0,25325.0,25291.0,25295.0,0.0,491.0
10/11,10:31,25296.0,25315.0,25281.0,25281.0,0.0,409.0
10/11,10:32,25283.0,25285.0,25259.0,25259.0,0.0,550.0
10/11,10:33,25258.0,25277.0,25258.0,25269.0,0.0,309.0
10/11,10:34,25269.0,25287.0,25256.0,25258.0,0.0,362.0
10/11,10:35,25255.0,25258.0,25227.0,25245.0,0.0,704.0
10/11,10:36,25244.0,25258.0,25237.0,25246.0,0.0,271.0
10/11,10:37,25244.0,25244.0,25220.0,25239.0,0.0,389.0
10/11,10:38,25238.0,25241.0,25219.0,25231.0,0.0,435.0
10/11,10:39,25230.0,25230.0,25217.0,25223.0,0.0,293.0
10/11,10:40,25224.0,25237.0,25202.0,25235.0,0.0,950.0
10/11,10:41,25236.0,25255.0,25232.0,25255.0,0.0,382.0
10/11,10:42,25256.0,25256.0,25242.0,25251.0,0.0,170.0
10/11,10:43,25250.0,25264.0,25248.0,25261.0,0.0,349.0
10/11,10:44,25258.0,25276.0,25256.0,25272.0,0.0,341.0
10/11,10:45,25274.0,25292.0,25272.0,25289.0,0.0,348.0
10/11,10:46,25290.0,25292.0,25279.0,25280.0,0.0,231.0
10/11,10:47,25282.0,25287.0,25264.0,25274.0,0.0,350.0
10/11,10:48,25275.0,25284.0,25261.0,25280.0,0.0,282.0
10/11,10:49,25279.0,25282.0,25250.0,25268.0,0.0,314.0
10/11,10:50,25269.0,25275.0,25252.0,25273.0,0.0,586.0
10/11,10:51,25275.0,25286.0,25269.0,25273.0,0.0,167.0
10/11,10:52,25268.0,25271.0,25257.0,25261.0,0.0,124.0
10/11,10:53,25261.0,25289.0,25261.0,25288.0,0.0,149.0
10/11,10:54,25287.0,25290.0,25273.0,25277.0,0.0,133.0
10/11,10:55,25281.0,25291.0,25271.0,25271.0,0.0,199.0
10/11,10:56,25274.0,25278.0,25265.0,25265.0,0.0,670.0
10/11,10:57,25266.0,25268.0,25247.0,25252.0,0.0,244.0
10/11,10:58,25250.0,25280.0,25240.0,25278.0,0.0,813.0
10/11,10:59,25280.0,25297.0,25280.0,25289.0,0.0,267.0
10/11,11:00,25289.0,25297.0,25283.0,25287.0,0.0,171.0
10/11,11:01,25287.0,25302.0,25275.0,25299.0,0.0,269.0
10/11,11:02,25298.0,25302.0,25291.0,25299.0,0.0,109.0
10/11,11:03,25298.0,25301.0,25277.0,25283.0,0.0,117.0
10/11,11:04,25285.0,25287.0,25269.0,25282.0,0.0,131.0
10/11,11:05,25283.0,25299.0,25283.0,25292.0,0.0,141.0
10/11,11:06,25292.0,25303.0,25292.0,25300.0,0.0,310.0
10/11,11:07,25299.0,25300.0,25282.0,25286.0,0.0,165.0
10/11,11:08,25289.0,25294.0,25272.0,25276.0,0.0,263.0
10/11,11:09,25276.0,25286.0,25270.0,25279.0,0.0,181.0
10/11,11:10,25280.0,25300.0,25279.0,25296.0,0.0,149.0
10/11,11:11,25297.0,25303.0,25287.0,25288.0,0.0,188.0
10/11,11:12,25288.0,25303.0,25282.0,25300.0,0.0,131.0
10/11,11:13,25303.0,25310.0,25283.0,25287.0,0.0,256.0
10/11,11:14,25287.0,25287.0,25273.0,25280.0,0.0,190.0
10/11,11:15,25281.0,25294.0,25277.0,25281.0,0.0,125.0
10/11,11:16,25283.0,25299.0,25282.0,25293.0,0.0,86.0
10/11,11:17,25295.0,25299.0,25288.0,25292.0,0.0,70.0
10/11,11:18,25291.0,25292.0,25286.0,25289.0,0.0,58.0
10/11,11:19,25289.0,25290.0,25274.0,25274.0,0.0,192.0
10/11,11:20,25273.0,25286.0,25270.0,25278.0,0.0,124.0
10/11,11:21,25282.0,25305.0,25282.0,25302.0,0.0,233.0
10/11,11:22,25302.0,25302.0,25288.0,25288.0,0.0,142.0
10/11,11:23,25292.0,25292.0,25269.0,25275.0,0.0,266.0
10/11,11:24,25276.0,25283.0,25271.0,25271.0,0.0,141.0
10/11,11:25,25273.0,25290.0,25272.0,25286.0,0.0,127.0
10/11,11:26,25283.0,25287.0,25274.0,25285.0,0.0,107.0
10/11,11:27,25287.0,25303.0,25286.0,25301.0,0.0,136.0
10/11,11:28,25301.0,25304.0,25292.0,25294.0,0.0,115.0
10/11,11:29,25294.0,25296.0,25289.0,25290.0,0.0,190.0
10/11,11:30,25290.0,25290.0,25273.0,25273.0,0.0,265.0
10/11,11:31,25274.0,25284.0,25263.0,25276.0,0.0,346.0
10/11,11:32,25278.0,25284.0,25267.0,25283.0,0.0,84.0
10/11,11:33,25285.0,25295.0,25282.0,25282.0,0.0,109.0
10/11,11:34,25283.0,25283.0,25274.0,25278.0,0.0,77.0
